Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010
Jordan,48.09583,45.9387,47.04469,50.15785,54.25109,56.09312,54.8982,51.64912,50.19321,49.94039,50.98574,8457923945,8972965061,9580161951,10193023726,11407566660,12582876895,15056937190,17110610000,21971835255,23820013058,26425379366
Kuwait,461.21238,435.28265,426.05849,448.85209,458.28488,508.17917,489.07736,473.42046,477.43647,488.13919,504.67238,37718011468,34890773740,38138801497,47875837662,59440511981,80797945205,101561153806,114721830985,147402413798,105911338608,119934674734
Lebanon,61.80288,58.98911,59.5995,61.73775,58.96092,56.14672,50.43629,46.00537,45.15389,69.09541,66.91524,17260364842,17649751243,19152238805,20082918739,21789054726,21860696517,22438474295,25056716417,30079601990,34650746268,37124378109
Oman,140.14553,139.47596,141.76855,137.48279,143.99531,178.14854,200.58384,207.79186,240.95996,257.77277,292.1469,19867880550,19949284974,20049414986,21542262852,24673602279,30905071770,36803641389,41901170688,60566970579,46866060195,58813004375
Palestinian Territories,6.35985,8.30038,7.4818,7.77766,11.52034,13.71264,14.46149,14.33633,14.97572,11.27484,11.1306,,,,,,,,,,,
Qatar,"1,007.58088",748.39078,749.36706,794.36483,854.42696,911.40877,848.78755,781.74536,715.54965,692.73263,642.38497,17759889598,17538461033,19363735705,23533790530,31675273812,43040108649,60496701553,79546975729,115019776904,97583513671,125122249141
Saudi Arabia,227.70207,235.76262,241.69505,253.32108,267.57308,276.00993,284.36606,252.45283,298.98963,285.25724,305.0291,188441864874,183012268441,188551196398,214572800000,258742133333,328459608764,376900133511,415909018143,519796800000,429097866666,526811466666
Syria,47.48022,45.14187,47.38206,46.67953,46.60007,43.33289,41.73787,39.39197,38.34851,43.55556,46.50298,19325894913,21099833783,21582248881,21828144686,25086930693,28858965517,33332844574,40405006007,52581913978,53934534350,59147033451
United Arab Emirates,579.7237,558.29408,577.76212,564.00646,567.82449,566.1559,595.18446,635.50892,712.47513,702.59924,710.69286,104337375342,103311643522,109816204634,124346361618,147824374542,180617023539,222105928740,258150041410,314844665222,270334929437,287421927883
Yemen,11.12593,11.44823,12.17895,12.77529,12.48101,12.62222,13.37787,11.83142,14.39831,12.65526,12.84637,9636342274,9854042164,10693278291,11777768086,13873500887,16753787028,18941303849,21596088517,26869018825,24581907773,31883409718
Africa,14.9679,15.32127,15.05015,15.42273,15.73059,15.94327,15.66162,15.72014,16.45203,15.90848,15.92563,,,,,,,,,,,
